Time	R1P4WFSIMES	R1P4WFSQMES	R1P4WFSGMES	R1P4WFSPMES	R1P4WFSIASK	R1P4WFSQASK	R1P4WFSGASK	R1P4WFSPASK	R1P4WFSCRFP	R1P4WFSCRFPP	R1P4WFSCRRP	R1P4WFSCRRPP	R1P4WFSGLDE	R1P4WFSPLDE	R1P4WFSDETA2	R1P4WFSCFQE2	R1P4WFSDFQES
-102.4	25848	-19369	20.0078	-36.8536	8578	-365	2.57324	1.02722	2.47079	10.8545	3.05891	10.5743	-0.000123874	-0.0933838	-12.1893	-6.31582	0
-102.35	25858	-19372	20.0102	-36.8591	7775	603	2.3761	1.41724	2.45196	6.52039	3.24878	14.6063	-9.29051e-05	-0.098877	-13.244	-6.88145	0
-102.3	25845	-19380	20.0082	-36.8591	8155	448	2.46948	3.27942	2.58948	7.64099	3.0076	13.8977	-9.29051e-05	-0.0823975	-12.9309	-6.71304	0
-102.25	25848	-19374	20.0082	-36.8427	8741	98	2.65106	-1.43921	2.58948	5.83923	2.89471	16.1884	-0.00018581	-0.0604248	-12.3431	-6.39802	0
-102.2	25855	-19378	20.0138	-36.8591	8547	-519	2.39502	-2.82349	2.45767	4.20227	3.21243	17.0288	-9.29051e-05	-0.12085	-13.5571	-7.0503	0
-102.15	25844	-19374	20.0068	-36.8427	9388	-427	2.69135	0.0274658	2.24281	7.94861	3.41683	13.0957	-0.00018581	-0.0549316	-13.5406	-7.04141	0
-102.1	25852	-19367	20.0065	-36.8427	8613	205	2.68677	2.1698	2.43951	6.29517	3.07645	16.4685	-0.00018581	-0.0439453	-12.4805	-6.47149	0
-102.05	25844	-19379	20.0065	-36.8536	8180	530	2.61536	2.52686	2.44792	7.38281	3.14444	14.046	-0.000123874	-0.0714111	-12.854	-6.67174	0
-102	25848	-19376	20.0082	-36.8481	8516	142	2.59521	0.41748	2.49668	3.07068	3.18292	19.2535	-0.000154842	-0.0769043	-13.299	-6.91104	0
-101.95	25854	-19361	20.0055	-36.8481	8440	156	2.6535	1.25244	2.46372	1.93909	3.15641	20.4401	-0.000154842	-0.0714111	-13.3594	-6.94361	0
-101.9	25844	-19386	20.0088	-36.8591	7803	1086	2.52808	1.27441	2.47549	4.06494	3.06148	17.8363	-9.29051e-05	-0.0823975	-13.0133	-6.75731	0
-101.85	25845	-19375	20.0082	-36.8317	8996	-357	2.76489	-3.32886	2.54678	-0.390015	3.13118	22.3242	-0.000247747	-0.0714111	-13.8647	-7.21663	0
-101.8	25851	-19377	20.0082	-36.8646	8577	454	2.46765	5.08118	2.31477	6.2677	3.36552	14.9744	-6.19368e-05	-0.0494385	-14.2548	-7.42813	0
-101.75	25851	-19380	20.0108	-36.8536	7809	274	2.42279	0.615234	2.72496	3.28491	2.89513	17.0178	-0.000123874	-0.0933838	-13.9636	-7.27018	0
-101.7	25848	-19374	20.0075	-36.8372	8660	32	2.68219	-0.994263	2.45935	2.64221	3.08671	20.4236	-0.000216779	-0.0714111	-13.0463	-6.77503	0
-101.65	25850	-19376	20.0098	-36.8427	8440	156	2.59552	-2.85095	2.50609	2.41699	3.15727	20.094	-0.00018581	-0.0823975	-14.0405	-7.31186	0
-101.6	25850	-19371	20.0085	-36.8427	8580	50	2.67853	-1.51062	2.42909	6.94336	3.14187	14.9579	-0.00018581	-0.0769043	-13.277	-6.89921	0
-101.55	25850	-19378	20.0088	-36.8481	8415	-407	2.48566	2.05994	2.48592	5.57007	3.09141	15.5182	-0.000154842	-0.109863	-13.0243	-6.76322	0
-101.5	25842	-19377	20.0048	-36.8536	8476	800	2.67395	3.31787	2.43111	7.80579	3.15042	14.1614	-0.000123874	-0.0494385	-13.1342	-6.82231	0
-101.45	25845	-19371	20.0075	-36.8591	8210	687	2.42096	5.38879	2.38202	8.50342	3.15769	12.6343	-9.29051e-05	-0.0714111	-12.2058	-6.32462	0
-101.4	25847	-19386	20.0102	-36.8701	7809	274	2.28943	5.04822	2.51046	3.6145	3.11237	17.7649	-3.09684e-05	-0.10437	-12.9474	-6.72189	0
-101.35	25846	-19370	20.0041	-36.8536	8579	945	2.70325	3.6969	2.44019	8.33862	3.09526	14.09	-0.000123874	-0.032959	-12.0685	-6.2513	0
-101.3	25847	-19373	20.0075	-36.8646	7623	1040	2.44446	5.23499	2.40992	6.96533	3.16411	14.6118	-6.19368e-05	-0.0823975	-12.0905	-6.26302	0
-101.25	25845	-19382	20.0098	-36.8591	8225	-132	2.52808	1.27441	2.24987	7.94861	3.3544	13.0573	-9.29051e-05	-0.0933838	-11.5631	-5.98212	0
-101.2	25851	-19365	20.0075	-36.8591	7596	881	2.52563	3.57056	2.5145	5.7074	3.03368	16.496	-9.29051e-05	-0.0878906	-11.5466	-5.97336	0
-101.15	25837	-19382	20.0051	-36.8756	8366	661	2.46552	8.65173	2.3726	10.4205	3.1547	11.1346	0	-0.0549316	-11.0577	-5.71391	0
-101.1	25846	-19383	20.0078	-36.8646	8184	182	2.44843	3.87817	2.39647	4.37256	3.1996	16.2158	-6.19368e-05	-0.0823975	-11.3104	-5.84789	0
-101.05	25842	-19379	20.0075	-36.8756	8106	1093	2.38129	6.74561	2.33057	11.7444	3.23723	9.59656	0	-0.0494385	-10.4919	-5.41472	0
-101	25839	-19380	20.0058	-36.8756	7664	1338	2.45148	6.22925	2.46171	12.1783	3.0277	9.17908	0	-0.0604248	-10.1678	-5.24384	0
-100.95	25842	-19375	20.0055	-36.8536	8949	366	2.66815	3.20801	2.50206	9.09119	2.98151	13.266	-0.000123874	-0.0439453	-10.3656	-5.34806	0
-100.9	25850	-19363	20.0072	-36.8536	8484	46	2.6236	1.25244	2.29829	9.70642	3.24194	11.9092	-0.000123874	-0.0823975	-9.70642	-5.00114	0
-100.85	25849	-19369	20.0048	-36.8701	8630	833	2.54547	5.58655	2.48625	9.98657	2.9798	11.8982	-3.09684e-05	-0.032959	-9.3988	-4.83972	0
-100.8	25844	-19369	20.0028	-36.8372	8759	646	2.88666	0.170288	2.58847	6.60278	2.83869	15.9906	-0.000216779	-0.0439453	-8.9209	-4.5895	0
-100.75	25834	-19390	20.0075	-36.8811	7779	1074	2.34192	7.66846	2.26298	10.8545	3.3172	10.3821	3.09684e-05	-0.0769043	-9.63501	-4.96364	0
-100.7	25835	-19383	20.0041	-36.8646	8065	856	2.66266	4.86694	2.36688	15.9961	3.19746	5.75134	-6.19368e-05	-0.0439453	-9.95911	-5.13396	0
