Time	R1P3WFSIMES	R1P3WFSQMES	R1P3WFSGMES	R1P3WFSPMES	R1P3WFSIASK	R1P3WFSQASK	R1P3WFSGASK	R1P3WFSPASK	R1P3WFSCRFP	R1P3WFSCRFPP	R1P3WFSCRRP	R1P3WFSCRRPP	R1P3WFSGLDE	R1P3WFSPLDE	R1P3WFSDETA2	R1P3WFSCFQE2	R1P3WFSDFQES
-102.4	-11792	21965	19.0012	118.268	-8101	4751	3.08472	147.42	1.02626	-34.942	1.90621	-111.044	-0.000361069	-0.032959	-14.6667	-5.62932	0
-102.35	-11799	21965	19.0052	118.24	-7870	4296	2.82715	153.962	1.12892	-30.7123	1.79111	-114.23	-0.000160475	-0.0494385	-14.1339	-5.41611	0
-102.3	-11799	21963	19.0061	118.224	-8373	3643	2.8125	156.182	1.1211	-33.5742	1.78769	-112.039	-4.01187e-05	-0.0494385	-14.469	-5.55007	0
-102.25	-11807	21967	19.0065	118.251	-7477	4608	2.81586	148.672	1.1104	-31.1627	1.80107	-112.989	-0.000240713	-0.065918	-14.8865	-5.71754	0
-102.2	-11794	21970	19.0074	118.224	-8141	3188	2.73285	157.083	1.14517	-37.0679	1.75814	-109.742	-4.01187e-05	-0.065918	-16.4301	-6.34257	0
-102.15	-11810	21961	19.007	118.246	-8368	4284	2.77222	153.111	1.15203	-35.5463	1.76063	-110.429	-0.000200594	-0.0384521	-16.5179	-6.37845	0
-102.1	-11803	21963	19.0043	118.251	-8212	4407	2.91656	150.496	1.09045	-28.7018	1.84524	-114.626	-0.000240713	-0.0384521	-15.1172	-5.81037	0
-102.05	-11800	21967	19.0079	118.246	-7555	4543	2.73315	152.781	1.20008	-38.4137	1.71191	-108.891	-0.000200594	-0.065918	-15.5511	-5.98553	0
-102	-11813	21965	19.0106	118.251	-7937	3737	2.64954	146.503	1.23934	-41.2976	1.69911	-107.128	-0.000240713	-0.065918	-17.4078	-6.7436	0
-101.95	-11809	21957	19.003	118.24	-8947	4213	2.94983	153.468	0.995811	-35.1947	1.94913	-110.544	-0.000160475	-0.00549316	-17.0673	-6.60344	0
-101.9	-11803	21960	19.0065	118.268	-7829	5186	2.8476	145.311	1.11905	-31.7505	1.79267	-113.033	-0.000361069	-0.0549316	-15.5841	-5.99886	0
-101.85	-11802	21964	19.0092	118.251	-7759	3969	2.69653	149.733	1.16192	-36.5625	1.74912	-110.012	-0.000240713	-0.065918	-17.3804	-6.73227	0
-101.8	-11809	21961	19.0074	118.295	-7374	5420	2.87689	140.098	1.14545	-39.5837	1.76	-107.551	-0.000561663	-0.0494385	-16.8365	-6.50878	0
-101.75	-11792	21968	19.0079	118.235	-7864	4265	2.69897	156.127	1.12584	-36.4417	1.78209	-109.984	-0.000120356	-0.0549316	-18.089	-7.0255	0
-101.7	-11805	21964	19.0065	118.268	-7599	4734	2.88574	145.717	1.2484	-40.8197	1.67685	-106.809	-0.000361069	-0.0494385	-17.9132	-6.95254	0
-101.65	-11795	21964	19.0079	118.251	-7379	4776	2.77618	150.43	1.04601	-34.9036	1.88381	-110.962	-0.000240713	-0.065918	-18.5944	-7.23606	0
