Time	R1P8WFSIMES	R1P8WFSQMES	R1P8WFSGMES	R1P8WFSPMES	R1P8WFSIASK	R1P8WFSQASK	R1P8WFSGASK	R1P8WFSPASK	R1P8WFSCRFP	R1P8WFSCRFPP	R1P8WFSCRRP	R1P8WFSCRRPP	R1P8WFSGLDE	R1P8WFSPLDE	R1P8WFSDETA2	R1P8WFSCFQE2	R1P8WFSDFQES
-102.4	-9214	-16648	15.9939	-118.982	8358	-2080	2.67181	-16.5399	1.6	-63.3856	1.48802	162.702	0.000472863	0.0274658	13.3704	5.21724	0.00651926
-102.35	-9217	-16644	15.9955	-118.982	8643	-1984	2.5943	-15.2655	1.60889	-65.3357	1.43541	161.807	0.000472863	0.032959	13.0353	5.08181	0.00651926
-102.3	-9218	-16645	15.9919	-118.976	8354	-1449	2.83203	-15.7544	1.55804	-63.9075	1.5112	162.427	0.000420323	0.0494385	12.7826	4.97992	0.00651926
-102.25	-9219	-16651	15.998	-118.954	8494	-3094	2.6062	-20.1324	1.63557	-64.4897	1.40391	162.076	0.000210161	0.0274658	12.9254	5.03748	0.00651926
-102.2	-9211	-16651	15.9955	-118.954	7980	-2524	2.68341	-17.9736	1.58583	-64.8743	1.43541	164.037	0.000210161	0.0384521	12.1674	4.73268	0.00651926
-102.15	-9214	-16650	15.9944	-118.954	8677	-2395	2.69165	-20.3247	1.57027	-64.9182	1.44908	163.669	0.000210161	0.0384521	11.6949	4.54362	0.00651926
-102.1	-9218	-16641	15.9929	-118.993	8111	-3221	2.7301	-14.903	1.50385	-59.1504	1.60719	161.373	0.000577944	0.032959	12.0685	4.69306	0.00651926
-102.05	-9222	-16649	15.9939	-118.982	8709	-2491	2.63611	-15.4358	1.56721	-65.506	1.47405	163.729	0.000472863	0.0604248	12.3486	4.80541	0.00651926
-102	-9212	-16645	15.9965	-118.976	7762	-2813	2.56195	-16.6058	1.64919	-68.9557	1.33794	167.25	0.000420323	0.0164795	11.7938	4.58314	0.00651926
-101.95	-9221	-16646	15.995	-118.976	8169	-2460	2.66541	-17.4463	1.4944	-66.8738	1.54686	165.218	0.000420323	0.0164795	11.5247	4.47563	0.00651926
-101.9	-9224	-16642	15.9975	-118.993	8456	-2683	2.62909	-13.9746	1.5372	-60.5182	1.54894	160.648	0.000577944	0.032959	12.1289	4.71727	0.00651926
-101.85	-9206	-16645	15.9919	-118.949	8369	-3664	2.81311	-22.3352	1.57971	-66.5826	1.42264	165.624	0.000157621	0.0439453	11.8982	4.62488	0.00651926
-101.8	-9218	-16650	15.9929	-118.965	8483	-2142	2.77374	-17.3364	1.45827	-64.6545	1.56766	164.136	0.000315242	0.0439453	11.1127	4.31147	0.00651926
-101.75	-9215	-16641	15.9888	-118.965	8836	-2867	2.84241	-17.1277	1.57916	-69.9115	1.42204	168.217	0.000315242	0.065918	11.1017	4.3071	0.00651926
-101.7	-9216	-16648	15.996	-118.982	8329	-2617	2.64587	-14.5349	1.51802	-62.9846	1.54181	161.208	0.000472863	0.032959	11.5796	4.49755	0.00651926
-101.65	-9214	-16648	15.9929	-118.982	8742	-2583	2.68707	-14.7107	1.58694	-65.7971	1.35101	164.438	0.000472863	0.0494385	10.2612	3.97366	0.00651926
-101.6	-9215	-16644	15.9965	-118.954	7969	-3267	2.58789	-21.2585	1.52136	-63.9459	1.48742	161.977	0.000210161	0	10.4974	4.06719	0.00651926
-101.55	-9206	-16650	15.9939	-118.949	8407	-3009	2.72522	-19.6875	1.53747	-64.2535	1.47464	163.306	0.000157621	0.0384521	10.7391	4.16304	0.00651926
