Time	R1P2WFSIMES	R1P2WFSQMES	R1P2WFSGMES	R1P2WFSPMES	R1P2WFSIASK	R1P2WFSQASK	R1P2WFSGASK	R1P2WFSPASK	R1P2WFSCRFP	R1P2WFSCRFPP	R1P2WFSCRRP	R1P2WFSCRRPP	R1P2WFSGLDE	R1P2WFSPLDE	R1P2WFSDETA2	R1P2WFSCFQE2	R1P2WFSDFQES
-102.4	3418	-29093	19.0062	-83.3093	5091	3001	1.68335	32.5745	1.42911	4.37256	2.0343	-144.651	0.000136603	-0.0439453	-8.84949	-3.58571	0
-102.35	3440	-29097	19.012	-83.2709	6303	1207	1.93024	15.8752	1.85304	-8.84399	1.49973	-127.194	-0.000102452	-0.12085	-6.93787	-2.80246	0
-102.3	3425	-29090	19.0077	-83.2928	5067	2148	1.77124	27.1582	1.41543	-6.92688	1.99522	-135.291	3.41507e-05	-0.0933838	-8.44299	-3.41854	0
-102.25	3420	-29086	19.0038	-83.2819	6065	3253	2.13928	26.9495	1.61621	-6.15784	1.86037	-134.764	-3.41507e-05	-0.0219727	-8.03101	-3.24946	0
-102.2	3434	-29092	19.0089	-83.2654	5613	3220	2.13501	20.0171	1.74989	4.61426	1.59357	-145.014	-0.000136603	-0.0549316	-7.85522	-3.17743	0
-102.15	3423	-29091	19.0093	-83.2874	6232	1560	1.76636	22.9504	1.47016	-10.3656	1.95835	-131.226	0	-0.10437	-9.38782	-3.80767	0
-102.1	3430	-29087	19.0077	-83.2819	6164	2452	2.06879	20.5389	1.68752	-5.02625	1.73624	-132.94	-3.41507e-05	-0.065918	-7.99805	-3.23595	0
-102.05	3424	-29083	19.0038	-83.2654	5778	2829	2.26227	21.275	1.53306	7.81677	1.86883	-147.903	-0.000136603	-0.0494385	-8.26721	-3.34635	0
-102	3431	-29100	19.0136	-83.3038	5212	1980	1.46698	26.3837	1.71963	-4.71863	1.69642	-136.115	0.000102452	-0.10437	-8.38257	-3.39372	0
-101.95	3431	-29089	19.0077	-83.2874	5605	2144	1.81183	25.675	1.67621	-6.10291	1.68987	-131.732	0	-0.0714111	-8.16284	-3.30353	0
-101.9	3418	-29089	19.0073	-83.2819	6348	2378	2.15546	20.6213	1.42438	3.46069	2.0573	-144.316	-3.41507e-05	-0.0549316	-9.10767	-3.69208	0
-101.85	3444	-29097	19.0136	-83.2764	6084	1730	1.87439	13.678	1.79015	-4.61975	1.64704	-135.319	-6.83013e-05	-0.10437	-8.66272	-3.50885	0
-101.8	3425	-29085	19.003	-83.2819	5909	2882	2.03796	28.9819	1.56463	-0.0714111	1.78726	-139.136	-3.41507e-05	-0.0274658	-8.54736	-3.46142	0
-101.75	3419	-29093	19.0108	-83.2709	6254	1877	2.0163	16.1554	1.52911	-11.5247	2.01539	-131.946	-0.000102452	-0.0933838	-10.3326	-4.19894	0
-101.7	3440	-29086	19.0062	-83.2709	6503	2747	2.06909	24.0985	1.73121	-0.571289	1.66341	-139.68	-0.000102452	-0.0439453	-8.60779	-3.48626	0
-101.65	3425	-29098	19.0116	-83.2874	5505	1721	1.7569	18.7482	1.55674	-4.79004	1.92431	-135.994	0	-0.10437	-10.9369	-4.45039	0
-101.6	3426	-29087	19.0069	-83.2874	6588	2248	1.88293	22.934	1.61332	-6.24023	1.82081	-134.769	0	-0.0714111	-9.79431	-3.97573	0
-101.55	3431	-29082	19.0034	-83.2654	6447	2956	2.27142	22.8955	1.62411	0.692139	1.7578	-140.515	-0.000136603	-0.032959	-9.38782	-3.80767	0
-101.5	3439	-29093	19.0128	-83.2654	5505	1721	2.02209	12.4915	1.59463	-6.84448	1.92747	-134.225	-0.000136603	-0.12085	-10.3381	-4.20122	0
-101.45	3426	-29090	19.0097	-83.2764	6364	2234	1.90491	21.0004	1.69937	-1.9281	1.64595	-137.499	-6.83013e-05	-0.0823975	-8.84399	-3.58345	0
-101.4	3433	-29080	19.0034	-83.2874	6206	3161	2.01721	26.6144	1.57595	-1.96655	1.87073	-139.037	0	-0.0384521	-10.2777	-4.17613	0
-101.35	3425	-29102	19.0128	-83.2874	5103	2317	1.78345	16.7267	1.57069	-5.02625	1.95583	-132.836	0	-0.10437	-10.2173	-4.15105	0
-101.3	3445	-29079	19.0011	-83.2544	6724	2842	2.37823	22.3846	1.65016	-4.38904	1.71196	-134.127	-0.000204904	-0.0219727	-8.60229	-3.48401	0
-101.25	3426	-29085	19.005	-83.2819	5124	2634	1.93085	26.7902	1.42674	-4.47693	2.07873	-135.978	-3.41507e-05	-0.0549316	-10.3326	-4.19894	0
-101.2	3431	-29091	19.0085	-83.2709	6775	2169	2.01294	20.495	1.78752	-4.79004	1.61921	-132.396	-0.000102452	-0.0604248	-8.80005	-3.56536	0
