Time	R1P5WFSIMES	R1P5WFSQMES	R1P5WFSGMES	R1P5WFSPMES	R1P5WFSIASK	R1P5WFSQASK	R1P5WFSGASK	R1P5WFSPASK	R1P5WFSCRFP	R1P5WFSCRFPP	R1P5WFSCRRP	R1P5WFSCRRPP	R1P5WFSGLDE	R1P5WFSPLDE	R1P5WFSDETA2	R1P5WFSCFQE2	R1P5WFSDFQES
-100.6	13339	14691	14.9885	47.7521	-2354	6027	2.01569	114.631	1.42728	-64.5721	1.33968	-174.337	0.00025175	0.0714111	15.5292	6.86426	0
-100.55	13342	14696	14.992	47.7631	-3416	5362	1.90643	111.033	1.60982	-64.0118	1.16921	-174.32	0.00015105	0.0769043	15.6995	6.94341	0
-100.5	13347	14690	14.9907	47.7521	-2759	6099	1.98669	114.955	1.40086	-64.5447	1.30143	-172.711	0.00025175	0.098877	15.7709	6.97665	0
-100.45	13345	14696	14.9924	47.7246	-3254	4369	1.79199	124.03	1.25306	-59.1504	1.36273	-173.491	0.000503499	0.0714111	13.1506	5.77156	0
-100.4	13339	14694	14.9881	47.7631	-2640	5806	2.05444	115.131	1.4725	-62.1277	1.3412	-176.957	0.00015105	0.0823975	15.238	6.72923	0
-100.35	13347	14696	14.995	47.7466	-2593	5008	1.74347	113.791	1.38777	-59.0076	1.35716	-175.578	0.0003021	0.0384521	14.3262	6.3087	0
-100.3	13341	14689	14.9898	47.7795	-1859	6158	2.12616	107.457	1.54533	-70.9167	1.1915	-167.585	0	0.0494385	15.6281	6.9102	0
-100.25	13341	14693	14.992	47.7356	-2810	5302	1.88354	119.251	1.31875	-61.0126	1.41389	-176.017	0.000402799	0.0604248	14.2163	6.25827	0
-100.2	13341	14697	14.9928	47.7631	-2294	5940	1.84631	111.061	1.53176	-57.887	1.20163	-177.715	0.00015105	0.0604248	14.5294	6.40213	0
-100.15	13352	14694	14.9972	47.7521	-2232	4943	1.67297	112.95	1.41252	-64.704	1.23	-169.343	0.00025175	0.0219727	13.7219	6.03193	0
-100.1	13338	14698	14.9928	47.774	-1988	5861	1.90979	107.611	1.35754	-65.9235	1.27509	-170.936	5.03499e-05	0.0494385	13.1616	5.77655	0
-100.05	13350	14686	14.9915	47.7246	-3620	4660	1.82739	123.849	1.3009	-62.3035	1.40174	-173.282	0.000503499	0.0933838	13.244	5.81403	0
-99.9999	13343	14702	14.9946	47.774	-2143	5150	1.83594	106.221	1.52295	-72.1582	1.10715	-164.905	5.03499e-05	0.0219727	13.0463	5.72412	0
-99.9499	13343	14700	14.9968	47.7576	-2223	4842	1.67297	112.95	1.30804	-70.2576	1.25457	-164.982	0.0002014	0.0109863	11.7883	5.15545	0
-99.8998	13343	14693	14.9911	47.7466	-2670	5521	1.87042	115.79	1.28162	-66.5552	1.36095	-170.096	0.0003021	0.065918	12.1783	5.33118	0
-99.8498	13344	14695	14.9911	47.7466	-2757	5312	1.92657	115.109	1.37587	-68.9117	1.2414	-168.08	0.0003021	0.0604248	12.3047	5.38821	0
-99.7998	13342	14701	14.9968	47.7631	-2006	4555	1.71783	107.122	1.43061	-64.9127	1.19479	-170.359	0.00015105	0.00549316	11.8927	5.20242	0
