Time	R1P7WFSIMES	R1P7WFSQMES	R1P7WFSGMES	R1P7WFSPMES	R1P7WFSIASK	R1P7WFSQASK	R1P7WFSGASK	R1P7WFSPASK	R1P7WFSCRFP	R1P7WFSCRFPP	R1P7WFSCRRP	R1P7WFSCRRPP	R1P7WFSGLDE	R1P7WFSPLDE	R1P7WFSDETA2	R1P7WFSCFQE2	R1P7WFSDFQES
-102.4	-23389	-3302	16.6014	-171.969	6028	-775	1.94855	-4.94385	1.53198	-90.0714	1.80818	165.35	8.46776e-05	-0.032959	-0.609741	-0.25863	-0.00325963
-102.35	-23394	-3320	16.6056	-171.964	6224	-1243	1.91528	-10.6622	1.67694	-87.0831	1.66222	163.57	4.23388e-05	-0.0274658	-0.97229	-0.412434	-0.00325963
-102.3	-23380	-3308	16.598	-171.931	7022	-459	2.26318	-8.5199	1.68166	-87.5555	1.67419	162.438	-0.000211694	0.0109863	-0.236206	-0.100187	-0.00325963
-102.25	-23393	-3312	16.6056	-171.958	6585	-1598	1.96045	-13.1836	1.68009	-90.5768	1.65727	166.349	0	-0.0439453	-0.203247	-0.0862071	-0.00325963
-102.2	-23396	-3306	16.6065	-171.969	6410	-1882	1.92322	-12.1893	1.824	-101.277	1.53083	175.82	8.46776e-05	-0.0439453	-0.999756	-0.424087	-0.00325963
-102.15	-23384	-3313	16.6035	-171.958	6409	-1166	2.00897	-10.9259	1.74731	-90.2362	1.59249	165.377	0	-0.032959	-0.829468	-0.351841	-0.00325963
-102.1	-23384	-3314	16.5989	-171.947	7209	-1462	2.37518	-11.4368	1.69795	-92.6257	1.65051	166.882	-8.46776e-05	-0.00549316	0.098877	0.0419384	-0.00325963
-102.05	-23387	-3304	16.6018	-171.969	6288	-276	1.98975	-7.81128	1.56218	-87.2369	1.76655	163.191	8.46776e-05	0	-0.461426	-0.195717	-0.00325963
-102	-23391	-3301	16.6035	-171.958	6376	-584	1.96594	-9.65698	1.61838	-97.8387	1.71217	172.326	0	-0.0219727	-1.1261	-0.477693	-0.00325963
-101.95	-23387	-3304	16.6001	-171.969	7323	-911	2.01599	-6.00403	1.73156	-92.2632	1.62527	166.52	8.46776e-05	0.0164795	0.0274658	0.0116496	-0.00325963
-101.9	-23391	-3300	16.6027	-171.974	6517	-611	1.90704	-6.36658	1.69033	-90.5054	1.67262	166.185	0.000127016	-0.0219727	0.812988	0.34485	-0.00325963
-101.85	-23400	-3294	16.609	-171.996	5265	-728	1.49689	-5.96008	1.74889	-100.41	1.60914	175.463	0.000296372	-0.065918	-1.03271	-0.438071	-0.00325963
-101.8	-23384	-3313	16.6014	-171.942	6907	-1190	2.26807	-10.9094	1.74548	-94.5538	1.60394	169.497	-0.000127016	0	0.0439453	0.0186393	-0.00325963
-101.75	-23388	-3304	16.5989	-171.974	6262	-415	1.97754	-4.65271	1.56822	-89.989	1.76291	165.344	0.000127016	0	-0.351562	-0.149116	-0.00325963
-101.7	-23386	-3304	16.6031	-171.969	5601	-867	1.90277	-8.98132	1.6751	-91.637	1.65571	166.772	8.46776e-05	-0.0494385	0.00549316	0.00232991	-0.00325963
-101.65	-23385	-3306	16.5997	-171.947	6234	-556	2.2464	-10.3821	1.62284	-95.8392	1.70541	170.854	-8.46776e-05	-0.00549316	-0.516357	-0.219018	-0.00325963
-101.6	-23388	-3303	16.6001	-171.974	5702	411	1.91528	-3.79028	1.73812	-88.3136	1.60238	164.344	0.000127016	-0.00549316	0.703125	0.298244	-0.00325963
-101.55	-23387	-3307	16.6022	-171.974	6269	-1138	1.95404	-5.22949	1.75414	-92.2083	1.58494	167.542	0.000127016	-0.0164795	0.917358	0.389128	-0.00325963
-101.5	-23391	-3300	16.6065	-171.969	5350	-673	1.83594	-10.9149	1.68849	-89.3573	1.64296	165.344	8.46776e-05	-0.0494385	0.395508	0.167756	-0.00325963
-101.45	-23388	-3306	16.6022	-171.969	6186	-1194	1.90369	-7.66846	1.66906	-94.3176	1.6721	169.195	8.46776e-05	-0.0274658	1.72485	0.731813	-0.00325963
-101.4	-23388	-3304	16.6031	-171.996	5768	-1112	1.73309	-0.878906	1.59054	-87.3358	1.74183	163.515	0.000296372	-0.0494385	1.32935	0.56394	-0.00325963
-101.35	-23386	-3302	16.6022	-171.958	7158	-1381	2.1817	-12.052	1.59343	-91.3843	1.75094	166.24	0	-0.0219727	2.41699	1.02577	-0.00325963
-101.3	-23387	-3301	16.6001	-171.947	7270	-1547	2.16095	-9.20105	1.74285	-88.2422	1.6107	164.174	-8.46776e-05	-0.0164795	3.1366	1.33171	-0.00325963
-101.25	-23383	-3298	16.5997	-171.974	6792	-661	2.01599	-6.00403	1.55982	-86.9128	1.81078	162.087	0.000127016	-0.00549316	3.36731	1.42988	-0.00325963
-101.2	-23391	-3300	16.6056	-171.974	6415	-631	1.76453	-9.93164	1.70582	-90.2911	1.6427	165.707	0.000127016	-0.0219727	3.41675	1.45092	-0.00325963
-101.15	-23386	-3300	16.6039	-171.974	6189	-659	1.81091	-7.20703	1.69821	-85.3033	1.66846	160.856	0.000127016	-0.032959	4.10339	1.74343	-0.00325963
-101.1	-23391	-3307	16.6027	-171.98	5824	420	1.81854	-4.4989	1.61286	-90.3461	1.7218	166.157	0.000169355	-0.00549316	3.86719	1.64275	-0.00325963
-101.05	-23383	-3313	16.5997	-171.947	6716	-545	2.15424	-8.98132	1.79879	-89.7418	1.5852	164.982	-8.46776e-05	0	5.18005	2.20311	-0.00325963
-101	-23382	-3302	16.5967	-171.974	6659	-460	2.03247	-0.878906	1.69322	-87.9236	1.67705	163.531	0.000127016	0	4.69666	1.99655	-0.00325963
-100.95	-23381	-3298	16.5963	-171.974	6328	-325	2.03247	-0.878906	1.48655	-82.6996	1.87062	160.351	0.000127016	0.00549316	4.79004	2.03643	-0.00325963
-100.9	-23379	-3312	16.5929	-171.947	7296	-156	2.34863	-2.77954	1.69847	-82.6556	1.70853	158.566	-8.46776e-05	0.0439453	6.56433	2.79649	-0.00325963
-100.85	-23382	-3302	16.5984	-171.996	6659	-460	1.89117	3.89465	1.58319	-76.5198	1.80193	157	0.000296372	0.00549316	6.13586	2.61251	-0.00325963
-100.8	-23383	-3301	16.6014	-171.974	6526	-798	1.88446	-4.07043	1.79511	-93.4277	1.57454	168.64	0.000127016	-0.00549316	5.88318	2.50414	-0.00325963
-100.75	-23377	-3306	16.5963	-171.953	7268	-291	2.27142	-5.24597	1.6512	-82.6117	1.74755	159.318	-4.23388e-05	0.0439453	6.69067	2.8508	-0.00325963
-100.7	-23378	-3288	16.5929	-172.002	6015	671	1.86157	9.73389	1.53014	-81.189	1.83003	157.363	0.00033871	0.0164795	5.92712	2.52298	0
-100.65	-23382	-3302	16.5946	-171.947	7463	-761	2.31415	-5.35583	1.90199	-81.3263	1.51262	156.187	-8.46776e-05	0.0439453	7.229	3.08254	0
-100.6	-23374	-3302	16.5951	-171.969	6799	-131	2.17621	0.74707	1.60078	-83.8422	1.8498	157.879	8.46776e-05	0.0494385	8.02002	3.42406	0
-100.55	-23388	-3285	16.5989	-172.002	6406	-268	1.76453	7.19604	1.82373	-84.9902	1.57714	159.862	0.00033871	0.00549316	7.72339	3.29584	0
-100.5	-23380	-3305	16.5959	-171.958	6710	177	2.19635	-2.77954	1.90987	-86.9568	1.50923	161.175	0	0.0274658	7.95959	3.39793	0
-100.45	-23377	-3295	16.5993	-172.002	5292	1026	1.80847	4.59778	1.51202	-81.2878	1.91303	158.423	0.00033871	0	6.92139	2.95005	0
-100.4	-23386	-3309	16.5984	-171.953	6886	-1515	2.15546	-7.80579	1.88938	-92.9169	1.49258	168.102	-4.23388e-05	0	7.19055	3.06597	0
-100.35	-23378	-3298	16.5929	-171.985	6736	1035	2.08069	4.98779	1.59684	-78.2556	1.874	155.413	0.000211694	0.0549316	7.98706	3.40981	0
-100.3	-23384	-3308	16.598	-171.947	7439	-902	2.22076	-7.33337	2.01734	-85.8252	1.39736	160.609	-8.46776e-05	0.0274658	8.30566	3.54771	0
-100.25	-23383	-3293	16.5967	-171.991	5534	1196	1.9751	3.26843	1.51465	-77.8931	1.91563	156.467	0.000254033	0.0274658	7.34436	3.13227	0
-100.2	-23381	-3307	16.5972	-171.974	6603	-546	2.03918	-1.09314	1.73103	-86.4624	1.66976	162.938	0.000127016	0.00549316	8.12988	3.4716	0
-100.15	-23383	-3303	16.5997	-171.991	6066	783	1.91193	-0.428467	1.68166	-83.8477	1.70905	159.796	0.000254033	0.0274658	7.37183	3.14411	0
-100.1	-23386	-3294	16.6018	-172.002	6104	-882	1.64246	2.08191	1.7074	-89.0552	1.67601	164.745	0.00033871	-0.0164795	7.01477	2.99025	0
-100.05	-23378	-3300	16.5989	-172.002	6039	643	1.74622	4.21875	1.60183	-84.1223	1.8165	159.626	0.00033871	0.0219727	7.91016	3.37655	0
